,ukraine_actual_yoy,counterfactual_factor_model,ea_common_factor_pct,ea_mean_hicp,counterfactual_svar
2003-12-01,8.242685822247342,8.81353903441694,2.0537143978954835,2.0727272727272728,1.95131900190968
2004-01-01,8.136042782028397,8.510118542589707,1.7961605012718147,1.8181818181818181,3.259588646876384
2004-02-01,7.387326363161795,8.352128443234513,1.6620529943205045,1.6909090909090911,5.465705009477618
2004-03-01,6.643793935325859,8.266690169589237,1.5895300076045327,1.6272727272727274,6.051956068852129
2004-04-01,6.643793935325837,8.595127188073324,1.8683188046189474,1.8909090909090907,6.1274363351983245
2004-05-01,7.390300492873125,9.02026928386951,2.2291942442824224,2.2363636363636363,8.056535963769218
2004-06-01,8.033998597725578,9.093195428524243,2.2910964994941856,2.3000000000000003,7.9710723211440015
2004-07-01,8.142140738463999,8.974651428868066,2.1904722178283715,2.1999999999999997,9.006121127880238
2004-08-01,9.902338349669936,8.945478149381943,2.165708920650603,2.163636363636363,9.079249211055776
2004-09-01,10.667066350114961,8.705954123088317,1.9623925726498235,1.981818181818182,8.647006967846878
2004-10-01,11.650288064972859,9.076836844760102,2.2772107630156544,2.3000000000000003,8.250550440386597
2004-11-01,11.32158260452638,8.965856499843198,2.1830067753091718,2.2181818181818183,7.832212824195498
2004-12-01,12.308670529098542,8.951744818146489,2.1710282876763403,2.190909090909091,8.74299526685541
2005-01-01,12.640944702261603,8.693645602938998,1.9519446714318227,2.027272727272728,8.897757953601587
2005-02-01,13.314097758251187,8.744521556384795,1.9951299552453843,2.0363636363636366,8.172656566201933
2005-03-01,14.668449524286054,8.949845421988307,2.1694160139672505,2.1818181818181817,8.130059817114864
2005-04-01,14.668449524286075,8.903490231211542,2.1300681111891904,2.1545454545454548,9.139116400719285
2005-05-01,14.554578174212264,8.652888748057887,1.917348831429254,1.9545454545454546,11.091701626381203
2005-06-01,14.440819903930047,8.698173653923366,1.9557882390435937,1.9909090909090907,13.521934670775856
2005-07-01,14.784142363641827,8.947172271678454,2.167146950746051,2.2181818181818183,12.595510064512768
2005-08-01,14.899041405046853,9.03768365009813,2.243976165741987,2.2818181818181817,11.351933495115725
2005-09-01,13.87822070154694,9.416274879785004,2.5653376065800737,2.590909090909091,10.225071927235001
2005-10-01,12.429671905930363,9.146047697582716,2.335959348932723,2.372727272727273,9.872601179984379
2005-11-01,11.987035402363787,8.98687055513276,2.2008442383990867,2.2363636363636363,9.375451714693305
2005-12-01,10.346600313461952,8.996856260453859,2.20932045337223,2.2545454545454544,8.420318539601853
2006-01-01,9.804089987437049,9.140292411289753,2.3310740611856406,2.3454545454545452,9.439696032854636
2006-02-01,10.673825353674204,9.191656952432325,2.3746740752779276,2.4,10.035697908581703
2006-03-01,8.604137674816116,9.089961786187711,2.288351671091047,2.327272727272727,8.357443787011627
2006-04-01,7.417796548278877,9.402559672908188,2.5536956606032186,2.5818181818181816,7.6660023114311135
2006-05-01,7.311019414533093,9.502558459072127,2.6385781182087005,2.6545454545454548,8.243783597186628
2006-06-01,6.777664447263976,9.379602230457802,2.534208582706789,2.5545454545454542,5.8856470498282185
2006-07-01,7.416414184735176,9.34910542549119,2.50832183093725,2.5454545454545454,4.102439667833791
2006-08-01,7.416414184735176,9.218237438093606,2.3972365186217686,2.4363636363636365,4.528911198897415
2006-09-01,9.128229550228962,8.655994459428966,1.9199850675667447,1.9727272727272727,4.7515938533618485
2006-10-01,10.966861762670854,8.45426902685292,1.7487534843102022,1.8090909090909093,4.793765915667059
2006-11-01,11.624768057706468,8.721631562445861,1.975700129998046,2.018181818181818,4.725219876581398
2006-12-01,11.624768057706468,8.819604120577782,2.058862654576092,2.109090909090909,5.396235219130348
2007-01-01,10.852659978255886,8.689505435336175,1.9484303527634932,1.9909090909090912,5.528134459987127
2007-02-01,9.545948858669417,8.65939737688774,1.922873582597876,1.9727272727272727,4.871717174514912
2007-03-01,10.095326736596522,8.811065262408796,2.0516145739309932,2.0999999999999996,4.7668915527728775
2007-04-01,10.537476643169196,8.810315172265675,2.0509778712547284,2.090909090909091,4.555381101720621
2007-05-01,10.647464182117638,8.6660960887183,1.928559682847498,1.9727272727272724,4.838450389008931
2007-06-01,12.968739654469807,8.696758081696775,1.9545866519631852,1.9909090909090907,7.555193862920026
2007-07-01,13.528545103699097,8.627555979965535,1.895845494277709,1.9272727272727272,9.79581172103065
2007-08-01,14.20971637432129,8.418569560170376,1.718450531809844,1.7454545454545454,12.747473896603003
2007-09-01,14.43365699466308,8.837965158326565,2.0744481438414186,2.090909090909091,13.470959554419927
2007-10-01,14.76825833090476,9.349026768814849,2.508255064406864,2.5090909090909093,15.348800737838632
2007-11-01,15.219214159316996,9.910021054551487,2.9844465813507925,2.9818181818181815,16.068216908209912
2007-12-01,16.589512048228606,9.929826321939938,3.0012579831083026,2.9909090909090907,17.62565119446639
2008-01-01,19.373739201619088,10.251657598220138,3.2744395957349504,3.2272727272727266,16.494682184227415
2008-02-01,21.865636342010752,10.340382178073089,3.349752113784774,3.3272727272727267,18.903288813819923
2008-03-01,26.244042438130922,10.706270106196238,3.660330549170528,3.6181818181818177,20.79519389138915
2008-04-01,30.157607753712966,10.331779998352445,3.3424502835980046,3.309090909090909,21.25697150498309
2008-05-01,31.06327699255589,10.930719317148128,3.8508508681069396,3.809090909090909,21.811752803642467
2008-06-01,29.26788963649347,11.284694859424256,4.151317654887456,4.1,9.918028551204422
2008-07-01,26.845710244882646,11.286273716959712,4.152657844233342,4.109090909090909,9.802125149483762
2008-08-01,25.963086018526617,11.118632887701365,4.010358461127421,3.972727272727273,12.808479488609663
2008-09-01,24.60731894787709,11.00976577993962,3.9179482628269326,3.8818181818181814,8.20736241846327
2008-10-01,23.1541723712255,10.377096319121438,3.380916357278183,3.3454545454545452,8.69058247745726
2008-11-01,22.31065064265543,9.175405024138428,2.3608788716826314,2.354545454545455,9.18531614563275
2008-12-01,22.31065064265545,8.506478710122156,1.7930708845177523,1.7909090909090908,11.06139712130804
2009-01-01,22.31065064265547,7.94808827125723,1.3190896036194604,1.3454545454545455,12.439296883532652
2009-02-01,20.88150964196227,7.918997700906461,1.2943965128406354,1.290909090909091,12.810677074141529
2009-03-01,18.086561442148085,7.100632979116093,0.5997399928173688,0.6181818181818182,13.672323604529806
2009-04-01,15.566770606331183,7.092481644974,0.5928208560829484,0.6090909090909091,14.082711246404935
2009-05-01,14.654101144484555,6.375543362876673,-0.015741364223465837,0.009090909090909078,13.129449916150918
2009-06-01,14.995333588366954,6.09780373697313,-0.2514964461148632,-0.22727272727272735,12.245988489965713
2009-07-01,15.457626386712132,5.603281429024848,-0.6712642298014444,-0.6545454545454544,11.922188914244131
2009-08-01,15.342053187125826,6.111023430953376,-0.24027510876786762,-0.24545454545454543,11.956854069106505
2009-09-01,14.999791901704086,5.828116001992347,-0.4804168021449424,-0.4818181818181818,14.174188406972089
2009-10-01,14.095172103067299,5.982492347003334,-0.349376775927007,-0.33636363636363636,13.867112095796875
2009-11-01,13.645535956848299,6.742918746253305,0.2960996750631668,0.29090909090909084,13.42060505717107
2009-12-01,12.309839158139035,7.2443292270378326,0.7217143801093053,0.6909090909090909,11.200548533910267
2010-01-01,11.109248068984968,7.2750743129416,0.7478118813982209,0.7090909090909091,10.943159465016533
2010-02-01,11.547117026892328,7.202401282600513,0.6861244784443872,0.6636363636363636,10.762197500073222
2010-03-01,10.997081933071362,8.021320606519252,1.3812517640984705,1.3636363636363635,10.184219473151837
2010-04-01,9.676997707901048,8.148182819554577,1.4889368354157835,1.481818181818182,9.682418662993248
2010-05-01,8.476552956869332,8.2667305879841,1.589564316147865,1.6,8.939185193492317
2010-06-01,6.867108550981049,8.129302462508841,1.4729105298175962,1.4909090909090907,8.08288925297645
2010-07-01,6.760134468347445,8.451356887793498,1.7462815591025567,1.781818181818182,8.212449475793303
2010-08-01,8.257771625218036,8.348003037635948,1.6585512061562808,1.7090909090909092,11.015657830267116
2010-09-01,10.51314186741008,8.628210028847672,1.8964006737817773,1.9454545454545453,12.523828464960452
2010-10-01,10.07503228617157,8.86229390614773,2.0950992335670375,2.118181818181818,13.407022046561012
2010-11-01,9.204013237418462,8.748290035354449,1.9983287716375593,2.0090909090909093,12.160942748036083
2010-12-01,9.095783293674753,9.202543569808727,2.3839150158269913,2.4,11.22769172120369
2011-01-01,8.238449043822648,9.469225357924486,2.610283819312059,2.618181818181818,8.164081635689602
2011-02-01,7.176246403549635,9.655892339541317,2.7687332641628974,2.7636363636363632,5.939287178264142
2011-03-01,7.707347723686153,9.846538323385948,2.9305602248903746,2.909090909090909,4.454077170651221
2011-04-01,9.435850796483503,9.942767424845814,3.012242842634251,2.9818181818181815,1.5918165830712967
2011-05-01,10.977200807701548,9.807362615336114,2.897306517467835,2.854545454545455,1.9267599083787972
2011-06-01,11.868583946719259,9.754948587431098,2.8528156624059915,2.8090909090909095,2.4358115700137746
2011-07-01,10.635563482376664,9.723266567953328,2.82592285921967,2.781818181818182,2.5008664451620497
2011-08-01,8.886384613090105,9.571906869583499,2.6974434678899324,2.627272727272727,-4.066769021322825
2011-09-01,5.923489793686221,10.016423172695148,3.0747644104857983,3.027272727272727,-3.3724773017655028
2011-10-01,5.396507257399219,10.037549257683597,3.09269696829167,3.0454545454545454,0.09252090467302754
2011-11-01,5.186344730465242,10.046016275971887,3.099884068740293,3.0454545454545454,-3.974356308677785
2011-12-01,4.560235535641022,9.652406778306883,2.7657745982124107,2.709090909090909,-5.676146937522874
2012-01-01,3.732035650210208,9.579027781796313,2.7034879465501596,2.645454545454545,-3.7443698434895665
2012-02-01,3.012388227463436,9.581190745997485,2.7053239460072644,2.645454545454545,-2.9055520424204797
2012-03-01,1.8948968364357555,9.528676810352875,2.660748285771321,2.6,-0.1275817630672118
2012-04-01,0.5872624249119163,9.404446233389361,2.55529703894196,2.4999999999999996,5.68485012158457
2012-05-01,-0.5104160340901331,9.22929535000193,2.4066228599441994,2.3363636363636364,8.226705938371026
2012-06-01,-1.2040685119400818,9.148716011473688,2.3382243068328834,2.272727272727273,7.5488839701670205
2012-07-01,-0.10299936668309861,9.18948767418857,2.3728327162412475,2.309090909090909,10.055884668718477
2012-08-01,-0.0027011732761317298,9.511256422231876,2.6459612527194634,2.581818181818182,8.370327167509572
2012-09-01,-0.0027011732761095253,9.516391021023903,2.65031967926647,2.5727272727272728,6.18984512230368
2012-10-01,-0.0027011732761095253,9.443467040550718,2.588419261087493,2.5363636363636366,5.458597384005575
2012-11-01,-0.20249597612671533,9.061207331276396,2.2639438868207757,2.2181818181818183,7.347222170920398
2012-12-01,-0.20249597612672643,9.135346110738002,2.3268754687527307,2.2818181818181817,8.58353101236046
2013-01-01,-0.20249597612671533,8.632930374166264,1.9004074675315694,1.8636363636363633,7.7950975118676
2013-02-01,-0.5012908983538678,8.467342440062813,1.7598506534371205,1.736363636363636,8.204900525603428
2013-03-01,-0.7988942157067358,8.364950904623129,1.6729371467884433,1.6363636363636365,7.006985514336354
2013-04-01,-0.7988942157067358,7.86274425406174,1.2466466250656856,1.2181818181818183,5.7907861779574965
2013-05-01,-0.4008957973144156,8.100984244319706,1.4488730384928385,1.418181818181818,4.965308963439645
2013-06-01,-0.10119939550090606,8.288303712039264,1.6078763363060733,1.5818181818181818,5.59986993085848
2013-07-01,-0.0011003968991896151,8.23349048089174,1.5613489538489351,1.518181818181818,5.304926889634408
2013-08-01,-0.40229959289960204,7.789869212471722,1.184787747917704,1.136363636363636,8.914219271834513
2013-09-01,-0.5017977951044972,7.546087686879975,0.9778574860131528,0.9272727272727274,9.979898868706853
2013-10-01,-0.10380498628491663,7.098614582624252,0.5980267074743966,0.5272727272727273,11.204176415414192
2013-11-01,0.19618358732984564,7.1720744194794115,0.6603819792408072,0.5636363636363636,11.75391142496643
2013-12-01,0.4961721609445746,7.341659471161968,0.8043316861539391,0.7363636363636362,12.002978709262056
2014-01-01,0.4961721609445968,7.23259396629696,0.7117530814722062,0.6454545454545454,11.897236145479491
2014-02-01,1.200349543453716,7.1203300969960095,0.6164595934998329,0.5454545454545454,10.011418903274873
2014-03-01,3.426757233409705,6.857263153496717,0.3931591962092631,0.3272727272727272,7.489484070259422
2014-04-01,6.8398402221122145,7.070043089127961,0.5737742272348034,0.5090909090909091,6.442052674065714
2014-05-01,10.788965185367093,6.842660458681083,0.3807639195147865,0.30909090909090914,6.715223907582217
2014-06-01,11.896854837220761,6.915998978026983,0.4430162127478421,0.3909090909090908,6.850329024866
2014-07-01,12.456899155725388,6.787239020146292,0.3337202694133552,0.30000000000000004,8.052865904134515
2014-08-01,14.155643855962975,6.897755918949927,0.42753086789411676,0.40909090909090917,6.241378581008551
2014-09-01,17.46615752778591,6.829769033688879,0.36982122833470465,0.3272727272727272,5.668606520940251
2014-10-01,19.806120825152142,6.80161382389571,0.34592210422209635,0.2909090909090909,4.2806043753973055
2014-11-01,21.838759601626755,6.741927187911853,0.295258005757864,0.2545454545454545,5.499698411894366
2014-12-01,24.869574517090154,6.126742668809324,-0.22693207139628901,-0.2818181818181818,4.989176830564202
2015-01-01,28.48356419872249,5.638915124674937,-0.6410171060474954,-0.6727272727272728,4.0886895599712885
2015-02-01,34.4862754485634,5.933173699962222,-0.39124016374617376,-0.4090909090909091,0.03486370104893144
2015-03-01,45.80312445891215,6.248724079881157,-0.12338999502561032,-0.1545454545454545,3.2046304889280792
2015-04-01,60.90567462067749,6.42102815931734,0.022867717483179728,-0.00909090909090911,5.214617236578526
2015-05-01,58.42543300802732,6.8719598205587555,0.40563423982419455,0.3818181818181819,5.258775886821853
2015-06-01,57.48429182184107,6.857394457285984,0.39327065144540607,0.38181818181818183,7.379325850541803
2015-07-01,55.288295720739676,6.854609079679306,0.3909063257802272,0.38181818181818183,10.722326785584876
2015-08-01,52.82340213787082,6.755534418924874,0.30680829805538523,0.3181818181818182,11.307947884400694
2015-09-01,51.93230358313097,6.498363750999713,0.08851286513139245,0.09999999999999996,12.280082143376804
2015-10-01,46.44256214506859,6.730782076034361,0.2857976460601106,0.2999999999999999,18.445442397178454
2015-11-01,46.58627417857706,6.626051576459149,0.1968987450712547,0.22727272727272732,
2015-12-01,43.31298844449232,6.81049322281585,0.35345924773467297,0.3909090909090909,
2016-01-01,40.254903337044404,6.8819194478008345,0.4140883188142761,0.4272727272727273,
2016-02-01,32.6627575723611,6.455583314945228,0.05219933884732697,0.09090909090909091,
2016-03-01,20.929047967585525,6.4563571059195715,0.05285615961580614,0.07272727272727271,
2016-04-01,9.790846181097358,6.381521084553545,-0.010667265564082484,0.0090909090909091,
2016-05-01,7.534869889704909,6.473423168892358,0.06734242912316946,0.08181818181818185,
2016-06-01,6.8922312250254025,6.673736639836101,0.23737549009767056,0.2545454545454545,
2016-07-01,7.8639787816165985,6.744170524050376,0.29716222771872736,0.3,
2016-08-01,8.407648029507776,6.841395947432318,0.37969055826129106,0.3909090909090909,
2016-09-01,7.877796377359636,6.922047634617816,0.44815052343637163,0.43636363636363645,
2016-10-01,12.35904222484876,7.14890950323064,0.6407187903477212,0.6454545454545454,
2016-11-01,12.138730377349027,7.101108278642528,0.6001434436336255,0.5818181818181818,
2016-12-01,12.361448809081654,7.5887645795618575,1.0140831210710106,0.9909090909090911,
2017-01-01,12.584167240814148,8.317802354464188,1.6329158128947987,1.6272727272727274,
2017-02-01,14.166675615685032,8.57204777764921,1.8487281960522333,1.8363636363636366,
2017-03-01,15.070966115611295,8.137962113952929,1.4802611440078126,1.4727272727272727,
2017-04-01,12.180294503045253,8.554014348833013,1.833420792675727,1.8272727272727267,
2017-05-01,13.525113218366425,7.958932000408499,1.32829413914711,1.3272727272727272,
2017-06-01,15.57266035056144,7.699235193574817,1.1078544314070562,1.090909090909091,
2017-07-01,15.919725396659178,7.782757054939994,1.178750700536142,1.1818181818181819,
2017-08-01,16.15226245863848,8.011614126453578,1.3730125652613727,1.3636363636363638,
2017-09-01,16.38045943792852,8.077485058872607,1.428926110245063,1.4181818181818182,
2017-10-01,14.56909041943939,7.95315446399486,1.3233899647215241,1.309090909090909,
2017-11-01,13.556200622018011,8.124957398873763,1.4692222882504131,1.4636363636363634,
2017-12-01,13.66874393284263,7.906948217771718,1.2841684912756928,1.2818181818181817,
2018-01-01,14.118471900925078,7.773824105574171,1.1711681015374569,1.1363636363636362,
2018-02-01,14.005483314884582,7.619304318999403,1.0400063171170115,1.0272727272727271,
2018-03-01,13.22155563000813,7.7944784353968135,1.1887002171039986,1.1363636363636365,
2018-04-01,13.109343979235044,7.619183842997992,1.0399040528848686,0.990909090909091,
2018-05-01,11.657792674466982,8.395680679019877,1.699021651136143,1.6454545454545453,
2018-06-01,9.89940223864858,8.555181524128479,1.8344115317770295,1.781818181818182,
2018-07-01,8.912281859259563,8.75509282180961,2.0041032140586172,1.936363636363636,
2018-08-01,9.021303162421956,8.58998577745739,1.863954595958214,1.8,
2018-09-01,8.9144195318706,8.655772542306469,1.9197966965728062,1.863636363636364,
2018-10-01,9.452534252877864,8.803248717254831,2.044979617766975,2.0,
2018-11-01,9.994915492981304,8.471676042643853,1.7635291664618795,1.718181818181818,
2018-12-01,9.77710377913381,8.045040578868598,1.4013861039698137,1.3636363636363638,
2019-01-01,9.23632986889178,7.870739932370479,1.2534336356995541,1.2363636363636366,
2019-02-01,8.803281980412514,8.035156106879883,1.3929958193801677,1.3818181818181818,
2019-03-01,8.588043044744055,8.071274341461598,1.4236542366797638,1.4454545454545455,
2019-04-01,8.803495511102666,8.332592814792747,1.6454704715058164,1.654545454545454,
2019-05-01,9.565119979680393,7.789553062809427,1.1845193890572,1.1909090909090911,
2019-06-01,9.017294379781982,7.795814121728566,1.1898339942504863,1.1818181818181819,
2019-07-01,9.127080174726409,7.431340447332801,0.8804560267570256,0.881818181818182,
2019-08-01,8.799698934202226,7.521774048774674,0.9572192219413787,0.9545454545454546,
2019-09-01,7.51844634616452,7.286487479510381,0.7574997752675592,0.7636363636363636,
2019-10-01,6.4612344843536285,7.170578240904883,0.6591119706807582,0.6636363636363637,
2019-11-01,5.096346862759371,7.4131768917235465,0.8650381672198137,0.8727272727272727,
2019-12-01,4.053724374041545,7.847371760964387,1.2335979167394926,1.2363636363636363,
2020-01-01,3.229536458207516,7.948288054107462,1.3192591862710668,1.3,
2020-02-01,2.407808804808864,7.704499758624392,1.1123231778466298,1.0727272727272728,
2020-03-01,2.3063144452401874,7.170483649763927,0.6590316784210224,0.6454545454545454,
2020-04-01,2.103727683962453,6.564503401079382,0.14465450703817595,0.13636363636363633,
2020-05-01,1.6981518043836408,6.292946876473803,-0.08585214280791353,-0.09090909090909091,
2020-06-01,2.4136161889370955,6.532469970921104,0.11746341420920414,0.1,
2020-07-01,2.4136161889370733,6.880089354356365,0.4125348716658317,0.3636363636363636,
2020-08-01,2.516337970470661,6.083955183547915,-0.26325158129306425,-0.31818181818181823,
2020-09-01,2.312730546497499,6.066091766766679,-0.2784146725243568,-0.3,
2020-10-01,2.6175351062189156,6.084665474129872,-0.26264866187250613,-0.2818181818181818,
2020-11-01,3.8477153472525227,6.115361224610339,-0.23659303821168276,-0.2636363636363636,
2020-12-01,4.99232944426633,6.118670237775672,-0.23378423242016177,-0.2545454545454545,
2021-01-01,6.144939847347075,7.067921654922524,0.5719734798866243,0.5000000000000001,
2021-02-01,7.5289761743436046,7.089895527237718,0.5906256691458502,0.5272727272727272,
2021-03-01,8.48905631875736,7.600026124483795,1.023642313198018,0.9363636363636363,
2021-04-01,8.381428286695147,8.03976659046379,1.3969093586576358,1.3181818181818181,
2021-05-01,9.462000851866591,8.504150472023738,1.7910945948119916,1.7090909090909094,
2021-06-01,9.462000851866591,8.415357504373544,1.7157240268145328,1.6727272727272726,
